Name	Codename	Cores	Clock	Socket	Process	L3 Cache	TDP	Released
Ryzen 7 6800U	Rembrandt	8 / 16	2.7 to 4.7 GHz	Socket FP7	6 nm	16MB	15 W	Jan 2022
Core i7-2600	Sandy Bridge	4 / 8	3.4 to 3.8 GHz	Socket 1155	32 nm	8MB	95 W	Jan 9th, 2011
Core i5-12400F	Alder Lake-S	6 / 12	2.5 to 4.4 GHz	Socket 1700	10 nm	18MB	65 W	Jan 4th, 2022
Core i3-10100	Comet Lake	4 / 8	3.6 to 4.3 GHz	Socket 1200	14 nm	6MB	65 W	Apr 30th, 2020
Core i7-12700K	Alder Lake-S	12 / 20	3.6 to 5 GHz	Socket 1700	10 nm	25MB	125 W	Nov 4th, 2021
Ryzen 5 3500X	Matisse	6	3.6 to 4.1 GHz	Socket AM4	7 nm	32MB	65 W	Sep 24th, 2019
Core i5-650	Clarkdale	2 / 4	3.2 to 3.466 GHz	Socket 1156	32 nm	4MB	73 W	Jan 7th, 2010
Athlon 3000G	Zen	2 / 4	3.5 GHz	Socket AM4	14 nm	4MB	35 W	Nov 20th, 2019
Core i7-11800H	Tiger Lake-H	8 / 16	2.3 to 4.6 GHz	BGA 1499	10 nm	24MB	35 W	May 11th, 2021
Core i5-12400	Alder Lake-S	6 / 12	2.5 to 4.4 GHz	Socket 1700	10 nm	18MB	65 W	Jan 4th, 2022
Ryzen 5 1600	Zen	6 / 12	3.2 to 3.6 GHz	Socket AM4	14 nm	16MB	65 W	Apr 11th, 2017
Ryzen 7 6800H	Rembrandt	8 / 16	3.2 to 4.7 GHz	Socket FP7	6 nm	16MB	45 W	Jan 2022
Ryzen 3 2200G	Raven Ridge	4	3.5 to 3.7 GHz	Socket AM4	14 nm	4MB	65 W	Feb 12th, 2018
Ryzen 7 2700X	Zen	8 / 16	3.7 to 4.35 GHz	Socket AM4	12 nm	16MB	105 W	Apr 19th, 2018
Core i7-1260P	Alder Lake-P	12 / 16	2.1 to 4.7 GHz	BGA 1744	10 nm	18MB	28 W	Feb 23rd, 2022
FX-8320	Vishera	8	3.5 to 4 GHz	Socket AM3+	32 nm	8MB	125 W	Oct 23rd, 2012
Core i5-2400	Sandy Bridge	4	3.1 to 3.4 GHz	Socket 1155	32 nm	6MB	95 W	Jan 9th, 2011
Ryzen 3 3100	Matisse	4 / 8	3.6 to 3.9 GHz	Socket AM4	7 nm	16MB	65 W	Apr 24th, 2020
Core 2 Quad Q6600 (95W)	Kentsfield	4	2.4 GHz	Socket 775	65 nm	N/A	95 W	Jul 23rd, 2007
Athlon II X2 250	Regor	2	3 GHz	Socket AM3	45 nm	N/A	65 W	Jun 2nd, 2009
Core i5-12500	Alder Lake-S	6 / 12	3 to 4.6 GHz	Socket 1700	10 nm	18MB	65 W	Jan 4th, 2022
